probe	symbol
106960	DYX1C1
106963	SNRNP48
106965	CRHR2
106979	MAP1LC3B
106981	DOCK8
106983	THUMPD1
106985	C1QTNF1
106991	WWC3
106993	FSTL4
10700172	OR2T1
10700437	SH2D4B
107007	CLRN1
107026	PPA1
107034	TMEM59
107040	NSUN3
107045	ERLIN1
107048	BMP5
107050	ZNF256
107053	CHMP5
107057	TLR10
107061	PLG
10706425	LILRB2
107068	RPAP3
107070	SLC38A7
107073	PPP1R1B
107075	PAGE1
10708154	FAM170A
107082	DNAJC28
10708944	CUX2
107094	SLC22A4
107095	C6orf10
107112	TTK
107117	GLA
107124	SPIC
107128	SLIT3
107132	CLTA
107135	FER
107137	KCTD13
10713880	LIN9
107148	PTGER4
107155	TCEA3
10715781	MAP6
107158	ATP6V0D1
107159	TG
107176	RBM18
107178	MTHFSD
107191	ARHGEF5
107193	DDX6
107201	CORO1C
107205	PTRF
107212	SNX9
107216	MSR1
107235	PITPNB
107237	TLR2
107242	TAS2R13
107253	MYOT
107266	PGS1
107275	C12orf60
107283	NSMCE4A
107290	DHX36
107292	SESN2
107302	ZNF189
107304	SKA1
107305	FXR1
107312	SPOCK3
107316	PTEN
107327	RCN2
107328	HSD17B6
107339	GFER
107347	SNTB1
107350	CDK5RAP2
107354	DYDC2
107356	MMP17
107357	RLF
107361	AMBP
107362	RAB5C
107384	LYG2
107385	SLC31A1
107386	RPL34
107393	AUH
107396	ADCY8
107398	DOCK10
107402	DAP3
107406	NDC80
107414	USP11
107416	SLCO1A2
107417	ATPAF2
107428	XPNPEP1
107430	RPS6KA6
107433	ZNF544
107434	ANOS1
107436	LYRM1
107437	DDX39A
107442	KIAA0586
107444	NAP1L1
107450	TMEM80
107454	ARHGAP29
107457	LCN2
107463	COX7B2
107464	USP38
107497	PXDNL
107499	DENND3
107513	SYNJ1
107516	HEATR4
107517	HMGCL
107518	BMS1
107531	CELSR2
107534	RTP3
107539	USP37
107542	ZNF84
107543	ENPP5
107546	KDELR3
107557	GPR182
107565	RPL26L1
107589	RAB40B
107593	ABCA3
107607	GUCA1B
107614	PGAP3
107651	SDR9C7
107652	UQCRB
107655	TOR3A
107656	TTC33
107658	CA3
107675	SERPINC1
107679	SLC18B1
107690	CCNT1
107691	RNF13
107701	ZKSCAN4
107702	FGG
107703	CD28
107705	NDUFB11
107710	HNRNPC
107720	LRAT
107722	CUL5
107729	GRIN3A
107737	KCNN3
107739	BLOC1S6
107741	SIAE
107747	CCT4
107784	FAM135B
107789	POLR2M
107791	TTYH2
107802	C9orf116
107806	UGT1A3
107810	HPRT1
107813	AASDH
107815	IFI44L
107823	TWF1
107824	BOLL
107835	FUCA1
107842	COIL
107867	CDH11
107874	CD164
107876	WDR4
107893	RAD50
107897	PABPC4
107922	ASZ1
107924	BCCIP
107931	SH3YL1
107936	SPAG4
107938	UBR3
107949	STK31
107957	METTL7A
107964	VANGL1
107968	SGCZ
107975	PTPRC
107988	EXT2
107996	PER1
108003	TAAR1
108010	ESR2
108016	ZNF124
108026	RBM48
108029	TCAIM
108038	CDR2
108044	TTI1
108045	KAT8
108049	CNIH4
108059	SORL1
108064	DENND4A
108072	SNX14
108075	HSPA1L
108077	FAM212A
108082	SLC1A6
108084	AQP7P1
108110	CCKAR
108112	RPS7
108119	ADAM19
108125	SPESP1
108144	MRPL13
108145	KIAA1143
108167	TDO2
108175	OTUB2
108201	PHC3
108203	FOXD1
108206	MALT1
108218	AASDH
108223	AMD1
108230	SNRNP40
108231	AHSA2
108241	LDHAL6A
108245	ERCC6L2
108246	FBXW8
108255	OR52N5
108259	OPCML
108266	CLIC5
108274	CNTN4
108279	MPPED2
108283	ROR2
108284	CXADR
108289	XPOT
108298	IREB2
108301	PDGFD
108322	GPX5
108329	LIPI
108331	TAC1
108339	BUB3
108361	PKHD1
108367	RBM4
108383	WTAP
108394	RAI2
108400	SP140L
108418	SAP30BP
108419	SFPQ
108432	FGF16
108448	DHX35
108451	EIF3E
108454	ALDH1B1
108456	CCAR2
108457	CCDC62
108463	INTS6L
108465	PCDH7
108472	SCAPER
108484	EHD2
108488	DARS2
108491	NID2
108492	CPEB3
108497	CLCN5
108501	PLCD4
108510	TRPC7
108511	GCDH
108513	GABPB2
108521	DNAJB13
108523	ZNF430
108526	C16orf45
108532	ZNF225
108534	DUXAP10
108540	FAM71F1
108545	DCPS
108558	OSR1
108560	ZNF668
108577	SRPX
108579	SEMA3G
108594	PGRMC2
108602	DNAJB2
108606	TSHR
108623	C8orf4
108648	KCNK9
108672	HBD
108674	IL12B
108691	METTL5
108702	HBQ1
108704	RNF166
108706	EIF1AY
108716	SUPT5H
108718	STK38L
108723	RSPO2
108736	CYLC2
108742	C8orf44
108749	ING5
108756	MIER1
108761	HTR1F
108769	FEM1B
108775	LHPP
108785	MMEL1
108787	C1R
108789	DSG4
108801	EXOC4
108804	TMEM267
108808	KCNV1
108823	GREM2
108824	CCDC186
108830	GPHA2
108836	RP1
108839	GZF1
108862	KLF1
108876	KLC2
108880	ADGRA2
108883	SOCS4
108887	KMT5A
108888	KIF21A
108921	PHF8
108930	ZNF169
108931	CD247
108934	SOCS2
108940	NDRG3
108944	ATG2A
108955	OCLN
108964	TMEM55A
108969	TMEM92
108974	FUBP1
108977	TESK2
109029	WDR63
109033	CIT
109046	UBE2D4
109048	UPK3B
109051	HGD
109063	FES
109070	ICAM1
109088	HAUS7
109099	ZNF681
109113	GNAZ
109114	PAG1
109118	PKD2L2
109122	SAMHD1
109132	MAG
109147	POLRMT
109150	MAEA
109165	BNIP3
109180	B4GALT3
109186	RAD51C
109189	JRK
109196	TBL1Y
109200	HDDC2
109204	PRSS3
109205	PRSS2
109212	FHL5
109215	CCNG2
109221	HRH3
109229	ZNF440
109238	RBBP4
109240	RUNDC3A
109242	FCRL4
109245	CEP350
109289	GRPEL1
109306	KLRB1
109310	FSD2
109311	APOL5
109319	PCP4
109325	PUM2
109339	COL9A1
109356	KRT23
109358	SPATA2L
109373	MYL7
109378	USP18
109383	DSPP
109385	HLA-B
109390	SETDB1
109394	CWC25
109417	FIS1
109421	AKAP12
109425	RAB27B
109437	ZNFX1
109444	EWSR1
109447	FAM76A
109450	FIP1L1
109451	KIR2DL5A
109498	CRH
109505	CCR4
109511	HCFC2
109524	PPP2R5D
109525	BAP1
109532	GPAT3
109533	ALDH1A3
109537	GSTCD
109539	REL
109540	UHRF1BP1L
109542	VIM
109548	GPR21
109549	KITLG
109552	STOML1
109566	DIS3L2
109598	SLIT2
109609	THTPA
109622	ZNF589
109627	MCHR1
109628	ATP5D
109636	SACM1L
109646	JMJD6
109651	INSM2
109660	DCTN2
109671	CD101
109673	NUDT22
109684	SSX2IP
109689	WDR74
109690	PRPF4
109692	RARB
109699	KYNU
109706	ZFYVE21
109711	TPD52L1
109718	ZNF596
109729	RNF141
109732	HPCA
109737	GNA12
109743	GPIHBP1
109744	ARPC4
109757	ATP6V1G1
109758	MICA
109765	ARHGAP45
109767	ABCC3
109768	HBS1L
109770	RPUSD3
109780	ECM1
109788	PRPS1
109789	SESTD1
109792	FDXR
109802	ASB9
109808	LIPA
109816	BMP3
109821	SYN2
109833	SLBP
109836	TRIM29
109839	ZCCHC11
109841	NPTN
